Player_Name,Team,Position,Age,Season,FIFA_Rating,Injury,Date of Injury,Date of return,Match1_before_injury_Result,Match1_before_injury_Opposition,Match1_before_injury_GD,Match1_before_injury_Player_rating,Match2_before_injury_Result,Match2_before_injury_Opposition,Match2_before_injury_GD,Match2_before_injury_Player_rating,Match3_before_injury_Result,Match3_before_injury_Opposition,Match3_before_injury_GD,Match3_before_injury_Player_rating,Match1_missed_match_Result,Match1_missed_match_Opposition,Match1_missed_match_GD,Match2_missed_match_Result,Match2_missed_match_Opposition,Match2_missed_match_GD,Match3_missed_match_Result,Match3_missed_match_Opposition,Match3_missed_match_GD,Match1_after_injury_Result,Match1_after_injury_Opposition,Match1_after_injury_GD,Match1_after_injury_Player_rating,Match2_after_injury_Result,Match2_after_injury_Opposition,Match2_after_injury_GD,Match2_after_injury_Player_rating,Match3_after_injury_Result,Match3_after_injury_Opposition,Match3_after_injury_GD,Match3_after_injury_Player_rating,Injury_Month,Injury_Year,avg_rating_before,avg_rating_after,rating_change,team_gd_before,team_gd_missed,performance_drop_index
Jamaal Lascelles,Newcastle,Center Back,26,2019/20,77,Knee injury,2019-11-09,2020-01-13,draw,Wolves,0.0,7.4,win,West Ham,1.0,6.1,win,Bournemouth,1.0,5.8,lose,Aston Villa,-2.0,draw,Man City,0.0,win,Sheffield,2.0,win,Chelsea,1.0,7.1,draw,Everton,0.0,6.2,draw,Norwich City,0.0,6.7,November,2019.0,6.433333333333334,6.666666666666667,0.2333333333333334,0.6666666666666666,0.0,0.6666666666666666
Fabian Schär,Newcastle,Center Back,28,2019/20,79,Knee injury,2019-10-20,2019-11-24,lose,Leicester,-5.0,5.8,win,Man United,1.0,7.5,lose,Chelsea,-1.0,6.1,draw,Wolves,0.0,win,West Ham,1.0,win,Bournemouth,1.0,N.A.,N.A.,,,N.A.,N.A.,,,N.A.,N.A.,,,October,2019.0,6.466666666666666,,,-1.6666666666666667,0.6666666666666666,-2.3333333333333335
Fabian Schär,Newcastle,Center Back,28,2019/20,79,Hamstring strain,2020-01-02,2020-01-17,lose,Man United,-3.0,4.9,lose,Everton,-1.0,7.7,lose,Leicester,-3.0,5.6,draw,Wolves,0.0,N.A.,N.A.,,N.A.,N.A.,,draw,Everton,0.0,6.0,lose,Arsenal,-4.0,,lose,Crystal Palace,-1.0,6.5,January,2020.0,6.066666666666667,6.25,0.18333333333333268,-2.3333333333333335,0.0,-2.3333333333333335
Fabian Schär,Newcastle,Center Back,28,2019/20,79,Shoulder injury,2020-07-16,2020-09-28,lose,Man City,-5.0,5.2,lose,Watford,-1.0,6.3,lose,Tottenham,-2.0,6.3,draw,Brighton,0.0,lose,Liverpool,-2.0,N.A.,N.A.,,N.A.,N.A.,,,N.A.,N.A.,,,N.A.,N.A.,,,July,2020.0,5.933333333333334,,,-2.6666666666666665,-1.0,-1.6666666666666665
Paul Dummett,Newcastle,Center Back,28,2019/20,75,Groin injury,2019-12-22,2020-01-10,win,Southampton,2.0,5.8,lose,Burnley,-1.0,6.0,win,Crystal Palace,1.0,6.2,lose,Man United,-3.0,lose,Everton,-1.0,lose,Leicester,-3.0,N.A.,N.A.,,,N.A.,N.A.,,,N.A.,N.A.,,,December,2019.0,6.0,,,0.6666666666666666,-2.3333333333333335,3.0
Ciaran Clark,Newcastle,Center Back,30,2019/20,75,Calf injury,2019-12-09,2020-01-10,draw,Man City,0.0,6.0,win,Sheffield,2.0,6.4,win,Southampton,1.0,6.4,lose,Burnley,-1.0,win,Crystal Palace,1.0,lose,Man United,-3.0,draw,Wolves,0.0,6.5,win,Chelsea,1.0,6.9,draw,Everton,0.0,6.3,December,2019.0,6.266666666666667,6.566666666666666,0.2999999999999998,1.0,-1.0,2.0
Ciaran Clark,Newcastle,Center Back,30,2019/20,75,Ankle injury,2020-02-16,2020-09-14,draw,Everton,0.0,6.3,draw,Norwich City,0.0,7.0,lose,Arsenal,-4.0,5.6,lose,Crystal Palace,-1.0,draw,Burnley,0.0,win,Southampton,1.0,N.A.,N.A.,,,N.A.,N.A.,,,N.A.,N.A.,,,February,2020.0,6.3,,,-1.3333333333333333,0.0,-1.3333333333333333
Jetro Willems,Newcastle,Left Back,26,2019/20,77,Knee injury,2019-09-22,2019-10-05,draw,Watford,0.0,6.7,lose,Liverpool,-2.0,6.5,draw,Brighton,0.0,6.3,lose,Leicester,-5.0,N.A.,N.A.,,N.A.,N.A.,,win,Man United,1.0,7.7,lose,Chelsea,-1.0,6.2,draw,Wolves,0.0,6.5,September,2019.0,6.5,6.8,0.2999999999999998,-0.6666666666666666,-5.0,4.333333333333333
Jetro Willems,Newcastle,Left Back,26,2019/20,77,Knee injury,2019-12-15,2019-12-25,win,Sheffield,2.0,6.0,win,Southampton,-1.0,5.8,lose,Burnley,-1.0,6.2,win,Crystal Palace,1.0,N.A.,N.A.,,N.A.,N.A.,,lose,Man United,-3.0,6.0,lose,Everton,-1.0,6.8,lose,Leicester,-3.0,5.8,December,2019.0,6.0,6.2,0.20000000000000018,0.0,1.0,-1.0
Jetro Willems,Newcastle,Left Back,26,2019/20,77,Cruciate ligament tear,2020-01-18,2020-09-20,lose,Leicester,-3.0,5.8,draw,Wolves,0.0,6.3,win,Chelsea,1.0,6.1,draw,Everton,0.0,draw,Norwich City,0.0,lose,Arsenal,-4.0,N.A.,N.A.,,,N.A.,N.A.,,,N.A.,N.A.,,,January,2020.0,6.066666666666666,,,-0.6666666666666666,-1.3333333333333333,0.6666666666666666
